//Arsinoé

//Morts-Vivants

3800,Bilal,Bilal,Bilal,66,12666,30000,50000,5000,11,1200,1400,10,50,20,30,30,40,90,66,14,11,0,3,89,404,110,1300,286,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29013,10000
3801,Soldat Gomorrhien,Soldat Gomorrhien,Soldat Gomorrhien,60,30000,300,5000,5000,2,300,600,50,10,50,60,30,10,150,30,14,8,1,1,67,405,160,880,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3802,Capitaine Gomorrhien,Capitaine Gomorrhien,Capitaine Gomorrhien,88,60666,63000,30000,10000,2,1200,800,90,10,70,90,50,10,50,10,14,12,1,1,89,405,110,420,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3803,Ambition,Ambition,Ambition,103,90460,63000,50000,25000,2,7600,8000,0,0,66,66,66,66,66,66,14,12,1,1,89,405,110,700,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3804,Turlutte,Turlutte,Turlutte,30,1500,2000,5000,1000,2,200,400,1,99,10,30,10,10,99,10,14,12,1,6,89,405,110,600,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3805,Mage Liche,Mage Liche,Mage Liche,97,170000,63000,9999,9999,2,18000,3000,20,99,50,50,20,90,120,15,14,12,2,6,89,404,110,680,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3806,Roi de Gomorrhe,Roi de Gomorrhe,Roi de Gomorrhe,130,4530666,63000,5000000,500000,2,8900,10000,50,150,141,89,80,10,120,43,15,15,2,1,69,2549,130,380,286,340,8555000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3807,Roi de Gomorrhe2,Roi de Gomorrhe2,Roi de Gomorrhe2,130,4530666,63000,5000000,500000,2,8900,10000,50,150,141,89,80,10,120,43,15,15,2,1,69,2485,130,380,286,340,8555000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//contrebandiers

3808,Contrebandier,Contrebandier,Contrebandier,65,32666,3000,8000,8000,2,2400,1800,40,15,99,89,50,10,60,20,15,15,1,1,69,437,130,580,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3809,Jorbert Surcouf,Jorbert Surcouf,Jorbert Surcouf,65,286000,3000,168000,68000,2,4500,3000,50,35,120,60,50,10,95,20,15,15,1,7,60,405,130,380,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//orcs

3810,Guerrier Orc,Guerrier Orc,Guerrier Orc,45,23000,3000,8000,6000,2,2500,1000,20,20,99,30,10,10,80,10,15,15,1,7,62,405,150,580,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29044,10000
3811,Brigadier Orc,Brigadier Orc,Brigadier Orc,60,68000,5000,68000,6800,2,500,3000,40,40,120,60,50,10,65,0,15,15,1,7,62,405,160,480,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29044,10000
3812,Traqueur Orc,Traqueur Orc,Traqueur Orc,70,40000,3000,68000,20000,10,8000,5000,60,0,60,80,30,10,120,20,15,15,1,7,60,405,150,480,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29044,10000
3813,Gerwioke,Gerwioke,Gerwioke,95,520890,9000,168000,68000,2,8500,5000,60,60,150,60,50,10,100,10,15,15,1,7,87,405,130,400,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//Armée des Ombres

3814,Sombre Miroir,Sombre Miroir,Sombre Miroir,50,32000,2000,10000,3000,2,2500,100,0,99,30,99,30,60,30,10,15,15,1,6,67,405,150,700,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3815,Aggripa,Aggripa,Aggripa,95,520890,9000,168000,68000,2,2500,1200,30,30,150,60,50,10,100,10,15,15,1,6,87,405,130,400,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3816,Prophète du Malheur,Prophète du Malheur,Prophète du Malheur,99,65000,9000,16800,6800,2,8500,5000,10,99,20,60,60,120,120,30,15,15,0,7,87,405,140,650,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3817,Chevalier Noir,Chevalier Noir,Chevalier Noir,100,88000,1000,16800,6800,2,5000,3000,25,25,99,55,80,0,70,30,15,15,2,6,67,405,100,350,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3818,Seigneur des Ombres,Seigneur des Ombres,Seigneur des Ombres,120,680000,100,16800,6800,2,20000,8000,55,55,150,50,80,99,150,30,15,15,2,6,67,405,130,450,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//Bandits

3819,Bandit,Bandit,Bandit,65,23000,2000,1680,680,2,1000,500,25,25,60,40,30,10,40,20,15,15,1,6,67,405,150,400,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,10000
3820,Chef Bandit,Chef Bandit,Chef Bandit,80,68000,1000,16800,6800,2,4000,2000,40,20,100,50,80,30,50,0,15,15,1,7,60,405,130,450,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,10000
3821,Seigneur des Bandits,Seigneur des Bandits,Seigneur des Bandits,112,23000,2000,16800,6800,1,5000,4000,80,20,120,40,65,22,40,99,15,15,1,7,60,405,150,200,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,10000

//Armée Gobeline

3822,Soldat Gobelin1,Soldat Gobelin1,Soldat Gobelin1,56,32000,2000,16800,6800,1,1000,500,30,40,65,20,35,1,45,1,15,15,1,7,63,405,150,500,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29015,10000
3823,Soldat Gobelin2,Soldat Gobelin2,Soldat Gobelin2,56,36000,2000,16800,6800,1,1500,90,60,0,75,30,10,1,20,1,15,15,0,7,62,405,150,550,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29015,10000
3824,Soldat Gobelin3,Soldat Gobelin3,Soldat Gobelin3,60,43000,2000,16800,6800,1,1200,500,20,20,65,30,35,1,45,1,15,15,0,7,82,405,150,500,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3825,Archer Gobelin,Archer Gobelin,Archer Gobelin,70,32000,2000,16800,6800,10,3000,1500,42,21,20,60,15,0,78,0,15,15,0,7,64,405,150,400,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29015,10000
3826,Lieutenant Gobelin,Lieutenant Gobelin,Lieutenant Gobelin,82,68000,2000,56800,6800,1,5000,3000,56,48,102,53,45,15,30,30,15,15,1,7,85,405,140,390,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29015,10000
3827,Sniper Gobelin,Sniper Gobelin,Sniper Gobelin,99,110000,2000,16800,6800,0,8000,6000,60,50,40,30,25,99,99,0,15,15,1,7,63,405,150,500,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29015,10000
3828,Panzer Gobelin,Panzer Gobelin,Panzer Gobelin,112,150000,2000,16800,6800,1,15000,12000,80,30,112,40,130,1,40,1,15,15,2,7,62,405,200,700,286,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29015,10000
3829,Trappeur Gobelin,Trappeur Gobelin,Trappeur Gobelin,82,23000,2000,16800,6800,1,5200,3000,53,48,120,40,70,12,68,1,15,15,1,7,60,405,150,480,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29015,10000
3830,Général Toadinne,Général Toadinne,Général Toadinne,130,950000,2000,16800,6800,1,23000,14000,50,99,200,20,35,21,99,0,15,15,1,7,62,405,130,410,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29015,10000
3831,Héros Gobelin,Héros Gobelin,Héros Gobelin,83,185000,2000,16800,6800,1,9000,4000,60,60,63,99,80,20,20,1,15,15,1,7,82,405,110,350,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3832,Roi Kiasok,Roi Kiasok,Roi Kiasok,160,6000000,2000,16800,6800,1,30000,16000,68,99,110,67,98,48,50,32,15,15,1,7,67,405,120,300,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29015,10000
3833,Esclave Minotaure,Esclave Minotaure,Esclave Minotaure,79,56000,2000,16800,6800,1,5000,4000,30,30,150,30,99,0,30,0,15,15,1,7,82,405,160,420,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29045,10000
3834,Maitre Minotaure,Maitre Minotaure,Maitre Minotaure,92,58000,2000,16800,6800,10,5000,4000,45,22,25,99,65,22,99,30,15,15,1,7,62,405,150,300,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//Plante

3835,Lophophora,Lophophora,Lophophora,94,350000,2000,16800,6800,0,12000,4000,99,12,25,100,70,86,99,0,15,15,2,3,64,405,150,490,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//Monstres des Montagnes

3836,Yeti,Yeti,Yeti,62,41000,2000,16800,6800,1,1200,800,50,10,99,20,70,1,40,1,15,15,2,2,62,405,150,450,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3837,Lion des Montagnes,Lion des Montagnes,Lion des Montagnes,60,18000,2000,16800,6800,1,4000,2000,40,40,83,80,30,23,30,5,15,15,0,2,62,405,140,420,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3838,Mammouth,Mammouth,Mammouth,83,89020,2000,16800,6800,1,5000,3000,60,0,80,0,99,1,40,1,15,15,1,2,62,405,180,600,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29014,10000
3839,Marmotte Enragée,Marmotte Enragée,Marmotte Enragée,42,8400,2000,16800,6800,1,1000,500,15,15,65,20,1,10,45,1,15,15,0,2,62,405,150,300,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29012,10000

//Monstres des Cavernes

3840,Ame-en-Peine,Ame-en-Peine,Ame-en-Peine,86,47000,2000,16800,6800,1,3000,1500,0,90,72,40,0,99,56,10,15,15,1,6,87,405,170,500,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29051,10000
3841,Gardien des Tombes,Gardien des Tombes,Gardien des Tombes,59,27000,2000,16800,6800,1,4000,2500,40,40,85,40,30,1,40,40,15,15,1,0,67,405,150,500,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29051,10000
3842,Rodeur,Rodeur,Rodeur,69,32000,2000,16800,6800,8,3200,1800,56,36,20,80,1,20,99,53,15,15,1,6,67,405,150,520,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29051,10000

//Enfants de Danifae

3843,Calliope,Calliope,Calliope,99,532000,2000,16800,6800,1,10000,5000,60,60,73,52,40,30,52,63,15,15,1,7,88,405,150,400,286,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
