//Arsinoé

//Morts-Vivants

3800,1961
3801,1028
3802,1290
3803,1152
3804,1177
3805,1957
3806,1875
3807,1875

//contrebandiers

3808,1208
3809,1584

//orcs

3810,1023
3811,1222
3812,1189
3813,1190


//Armée des Ombres

3814,1260
3815,1151
3816,1198
3817,1219
3818,1272

//Bandits

3819,1208
3820,1839
3821,2031


//Armée Gobeline

3822,1122
3823,1125
3824,1534
3825,1577
3826,1124
3827,1577
3828,1308
3829,1280
3830,1980
3831,1980
3832,1539
3833,1149
3834,1310

//Plante

3835,1880 

//Monstres des Montagnes

3836,1243
3837,1998
3838,1990
3839,1628

//Monstres des Cavernes

3840,1198
3841,1163
3842,1276

//Les Enfants de Danifae

3843,1147
3844,2018 //Duneyrr
3845,2024 //Bradium Golem

//La Tour des Etoiles

3846,1111
3847,1365
3848,1296
3849,1282
3850,1956

//Jungle

3851,2073 //Jaguar
3852,1144
3853,1119

3854,1084

//Temple Solitude

3855,1779

//Raymond Barre

3856,1584

//Dragon de Gondar

3857,2022

//Lalibela

3858,1704
3859,1706

//Académie

3860,1046

//Salle Royale

3861,1768
3862,1313

//Combat Final

3863,1957
3864,1092
3865,1198

//Gondar

3866,1366

//Empire de Rana

3867,1497
3868,1495
3869,1493
3870,1688
3871,1880
3872,1499
3873,1499
3874,1498
3875,1904

//OmbreTerre

3876,1071
3877,1290
3878,1593
3879,1038
3880,1041
3881,2069
3882,1044
3883,1077
3884,1014
3885,1163
3886,1870
3887,1140

//Urunesti

3888,1492
3889,1492


//Sidon

3890,1141
3891,1064
3892,1274
3893,1264
3894,1418
3895,1312

//Kargah

3896,1987
3897,1874
3898,1702
3899,1038

//Entrainement des Mages

3900,1002
3901,1031
3902,1595
3903,1836
3904,1582
3905,1096
3906,1388
3907,1904

//Marathon

3908,1904

//Néraka

3909,1112
3910,1782
3911,1276 
3912,1163 
3913,1200
3914,1708
3915,1143
3916,1262
3917,1040
3918,2018
3919,1418

//Gnoll

3920,1752
3921,1753
3922,1507
3923,1504
3924,1268

//Abysses

3925,2152
3926,2154
3927,2087
3928,2020
3929,1719
3930,1389
3931,1418
3932,1768
3933,1885
3934,1920
3935,1921
3936,2086
3937,2092

3938,1871
3939,1832
3940,1957
